LGA,hhold_count_2016,hhold_count_2021,hhold_count_delta
albury,21940,23227,1287
armidale,11755,13041,1286
ballina,18178,19080,902
balranald,963,1015,52
bathurst,16105,17351,1246
bayside,61039,73936,12897
bega,15036,15350,314
bellingen,5562,5710,148
berrigan,3880,3916,36
blacktown,111428,134842,23414
bland,2540,2626,86
blayney,2937,3060,123
blue mountains,30494,31272,778
bogan,1154,1162,8
bourke,1190,1177,-13
brewarrina,705,712,7
broken hill,8050,7747,-303
burwood,13688,16316,2628
byron,14390,15292,902
cabonne,5177,5357,180
camden,25954,42327,16373
campbelltown,54671,62223,7552
canada bay,35505,38031,2526
canterbury-bankstown,120587,133688,13101
carrathool,1153,1189,36
central coast,133666,144408,10742
central darling,800,810,10
cessnock,21815,23456,1641
clarence valley,21899,22636,737
cobar,2035,2071,36
coffs harbour,30399,32624,2225
coolamon,1766,1829,63
coonamble,1758,1701,-57
cootamundra-gundagai,4850,4830,-20
cowra,5361,5439,78
cumberland,74062,88639,14577
dubbo,19953,21073,1120
dungog,3617,3793,176
edward river,3990,3980,-10
eurobodalla,17128,17265,137
fairfield,64473,67910,3437
federation,5469,5343,-126
forbes,3998,4130,132
georges river,53690,57173,3483
gilgandra,1814,1755,-59
glen innes severn,3918,3830,-88
goulburn mulwaree,12234,12880,646
greater hume,4111,4255,144
griffith,9998,10470,472
gunnedah,5069,5228,159
gwydir,2307,2301,-6
hawkesbury,23455,24477,1022
hay,1335,1311,-24
hilltops,7836,7875,39
hornsby,49871,53627,3756
hunters hill,5076,4905,-171
inner west,77711,84679,6968
inverell,6917,7035,118
junee,2291,2479,188
kempsey,12149,12332,183
kiama,8714,9226,512
ku-ring-gai,40577,44188,3611
kyogle,4055,4047,-8
lachlan,2681,2687,6
lake macquarie,79264,83209,3945
lane cove,14536,16947,2411
leeton,4493,4708,215
lismore,18228,19474,1246
lithgow,9109,9393,284
liverpool,66436,80626,14190
liverpool plains,3328,3325,-3
lockhart,1301,1339,38
maitland,29735,32495,2760
mid-coast,39867,42174,2307
mid-western,10219,10649,430
moree,5599,5589,-10
mosman,12350,12544,194
murray river,5142,5224,82
murrumbidgee,1612,1644,32
muswellbrook,6452,6897,445
nambucca,8547,8783,236
narrabri,5377,5422,45
narrandera,2540,2527,-13
narromine,2703,2680,-23
newcastle,66213,71598,5385
north sydney,33912,36419,2507
northern beaches,96933,99002,2069
oberon,2193,2279,86
orange,16368,17700,1332
parkes,6144,6361,217
parramatta,83129,106956,23827
penrith,69299,80548,11249
port macquarie-hastings,34030,36606,2576
port stephens,28801,30257,1456
queanbeyan-palerang,22679,24292,1613
randwick,57003,58708,1705
richmond,9535,9933,398
ryde,44742,55001,10259
shellharbour,25885,28787,2902
shoalhaven,42798,45814,3016
singleton,8731,9052,321
snowy monaro,8587,8692,105
snowy valleys,6159,6173,14
strathfield,14588,19006,4418
sutherland,81081,86870,5789
sydney,102917,109956,7039
tamworth,24406,25448,1042
temora,2599,2651,52
tenterfield,3118,3087,-31
the hills,51280,63379,12099
tweed,39153,42259,3106
unincorporated nsw,460,477,17
upper hunter,5820,5910,90
upper lachlan,3301,3421,120
uralla,2546,2608,62
wagga wagga,24691,26230,1539
walcha,1403,1392,-11
walgett,2892,2804,-88
warren,1191,1162,-29
warrumbungle,4181,4102,-79
waverley,29941,30076,135
weddin,1637,1591,-46
wentworth,2901,2939,38
willoughby,28479,29751,1272
wingecarribee,19674,20577,903
wollondilly,16516,18402,1886
wollongong,81323,87168,5845
woollahra,24350,24009,-341
yass,6160,6482,322
